"","all_trips_clean$member_casual","all_trips_clean$day_of_week","all_trips_clean$ride_length"
"1","casual","Monday",1696.5233279627
"2","member","Monday",714.285971265648
"3","casual","Tuesday",1480.54693131815
"4","member","Tuesday",706.201386111937
"5","casual","Wednesday",1431.01951774145
"6","member","Wednesday",702.963181050619
"7","casual","Thursday",1477.86053410313
"8","member","Thursday",719.662865339646
"9","casual","Friday",1619.71043063637
"10","member","Friday",732.378495545167
"11","casual","Saturday",1937.73092319489
"12","member","Saturday",830.128245833706
"13","casual","Sunday",2004.24797139401
"14","member","Sunday",823.899839029498
